CustomerID,Frequency,Monetary,Recency,ProductType,Country
12346.0,2,0.0,326,Clothing,United Kingdom
12347.0,7,4310.0,2,Others,Iceland
12348.0,4,1797.24,75,Others,Finland
12349.0,1,1757.55,19,Others,Italy
12350.0,1,334.4,310,Others,Norway
12352.0,11,1545.41,36,Others,Norway
12353.0,1,89.0,204,Others,Bahrain
12354.0,1,1079.4,232,Others,Spain
12355.0,1,459.4,214,Others,Bahrain
12356.0,3,2811.43,23,Home Decor,Portugal
12357.0,1,6207.67,33,Others,Switzerland
12358.0,2,1168.06,2,Others,Austria
12359.0,6,6245.53,8,Others,Cyprus
12360.0,3,2662.06,52,Others,Austria
12361.0,1,189.9,287,Others,Belgium
12362.0,13,5154.58,3,Others,Belgium
12363.0,2,552.0,110,Others,Unspecified
12364.0,4,1313.1,8,Others,Belgium
12365.0,3,320.69,291,Others,Cyprus
12367.0,1,168.9,4,Others,Denmark
12370.0,4,3545.69,51,Others,Cyprus
12371.0,2,1887.96,45,Others,Switzerland
12372.0,3,1298.04,72,Others,Denmark
12373.0,1,364.6,311,Accessories,Austria
12374.0,1,742.9300000000001,25,Others,Austria
12375.0,3,455.42,3,Accessories,Finland
12377.0,2,1628.12,315,Others,Switzerland
12378.0,1,4008.62,130,Others,Switzerland
12379.0,3,850.29,82,Others,Belgium
12380.0,5,2720.56,22,Accessories,Belgium
12381.0,6,1803.96,5,Others,Norway
12383.0,6,1839.31,185,Others,Belgium
12384.0,3,566.16,29,Others,Switzerland
12386.0,2,401.9,338,Others,Australia
12388.0,6,2780.66,16,Others,Australia
12390.0,1,549.84,80,Others,Belgium
12391.0,1,460.89,22,Others,Cyprus
12393.0,4,1582.6000000000001,72,Accessories,Australia
12394.0,2,1272.48,64,Others,Belgium
12395.0,15,2998.28,16,Others,Belgium
12397.0,2,2409.9,36,Others,Belgium
12398.0,1,1635.6599999999999,46,Others,Switzerland
12399.0,4,1108.65,119,Others,Belgium
12401.0,1,84.3,303,Others,Belgium
